
<!-- saved from url=(0099)https://www.metabolomicsworkbench.org/data/showfile_t.php?RA=79.215.64.159&DF=MSdata_ST000383_1.txt -->
<html><head><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"></head><body><pre>Metabolite_name	RefMet_name	090309bsesa100_1	090309bsesa106_1	090309bsesa109_1	090309bsesa110_1	090309bsesa59_1	090309bsesa60_1	090309bsesa61_1	090309bsesa65_1	090309bsesa66_1	090309bsesa67_1	090309bsesa68_1	090309bsesa69_1	090309bsesa75_1	090309bsesa77_1	090309bsesa78_1	090309bsesa88_1	090309bsesa89_2	090309bsesa92_2	090309bsesa95_1	090309bsesa96_1	090309bsesa98_1	090309bsesa99_1	090309bsesa101_1	090309bsesa104_1	090309bsesa108_1	090309bsesa112_1	090309bsesa58_1	090309bsesa62_1	090309bsesa63_1	090309bsesa64_1	090309bsesa70_1	090309bsesa72_1	090309bsesa73_1	090309bsesa79_1	090309bsesa80_2	090309bsesa82_1	090309bsesa83_1	090309bsesa84_1	090309bsesa85_1	090309bsesa86_1	090309bsesa87_1	090309bsesa90_2	090309bsesa94_1	090309bsesa97_1	090309bsesa102_1	090309bsesa103_1	090309bsesa74_1	090309bsesa76_1	090309bsesa91_1	090309bsesa93_2	090309bsesa105_1	090309bsesa107_1	090309bsesa111_1	090309bsesa57_1	090309bsesa71_1	090309bsesa81_1
alpha mannosylglycerate		127497	80549	110801	156321	244785	222025	125302	72938	112057	238603	262342	109255	96657	156199	123278	82318	166951	205325	253869	277208	117558	175440	151843	54754	122110	106171	183072	234399	208458	140436	128663	136568	62090	155093	44529	72302	141107	60806	120463	247091	173929	88383	129633	105976	126317	52794	109340	74025	193256	85097	126582	172256	80413	264728	176141	96170
arachidic acid	Arachidic acid	13346	54922	10769	11123	15853	12578	14261	4458	10645	14082	17279	20008	13116	12476	9509	9948	15987	11844	12392	9573	13777	16503	10309	10617	12711	11212	3504	15706	17582	8481	19637	69025	16146	15633	25638	50062	15755	11046	13723	8771	14709	1297	2256	10792	10234	11420	14107	12512	10258	2819	11375	9771	4696	16995	16798	13699
arachidonic acid	Arachidonic acid	16162	22918	17851	23339	46865	29288	50802	24350	27474	30633	17760	22820	47738	22198	24348	19567	26084	17372	36109	22978	12075	33112	34722	25684	12924	24021	28096	32556	27065	30686	18394	29840	48512	27001	13693	11679	20525	20053	25591	20574	26509	20376	24820	19014	50326	18360	14378	45515	36384	29486	28858	28269	36018	58084	43525	32276
arginine + ornithine	Arginine	91128	102274	102656	37728	38549	33952	38028	100706	53745	84673	46713	99960	91420	87865	66973	55366	72510	179028	104027	104369	82151	55759	55725	75691	62849	66565	26767	50161	44456	50188	74395	41334	65043	97077	24386	58660	137167	136666	44834	42044	85748	108470	89795	96214	94661	74046	52001	93486	102419	99064	108250	76083	102142	47369	94192	97277
asparagine	Asparagine	52381	24937	25407	20089	23182	26406	25163	24469	30691	25733	25218	20372	18319	26395	19472	17702	30183	85759	20830	31128	17131	17418	19060	24917	20615	18894	30057	24323	26299	24674	21513	57485	33819	31055	27961	20365	29536	31503	29575	26776	20526	27713	23890	28391	22802	23779	18367	23647	25368	25017	31426	21311	19656	26648	33944	19763
aspartic acid	Aspartic acid	3676	19465	3734	4761	5957	4441	6523	6705	5181	6810	6695	5862	6917	9834	4169	4212	3704	5460	4429	6525	3303	5484	3148	3283	4425	3579	6584	5930	5983	3694	7019	14140	6048	4432	5044	8528	9263	4844	6028	3735	5149	3692	4120	3409	2716	2518	3398	4332	3820	2764	3296	3786	4689	7675	17432	8732
behenic acid	Behenic acid	9214	29147	11110	9535	6081	4297	5623	6885	5270	5305	6394	7634	6027	5394	3480	7616			7770	7489	10066	7117	8342	9902	10453		4765	6260	6497	6203	6148	8201	6341	6432	24597	42774	6623	6409	8607	7225	8465		9242	8251	10490	12336	5952	7329	9526		11727	9499	9564	5717	6270	6638
benzoic acid	Benzoic acid	40751	44519	28144	28270	36682	30583	40621	30862	27279	38305	28958	26639	36851	25209	22290	26516	34199	32574	35338	24757	40763	27908	27072	31738	26538	32874	29872	29519	45545	36673	34527	61471	34967	33198	67598	28796	28733	33709	32743	30954	31962	39280	33541	25892	40544	47587	28506	55093	45082	28815	35281	29803	35570	38355	40735	28724
benzylalcohol	Benzyl alcohol	15554	12673	14423	12586	21770	15890	21700	18726	16829	18472	17777	15573	16908	15118	10502	13802	15445	14792	14719	14301	14443	12814	13870	13852	13527	22882	17110	18208	18797	16869	17227	16642	18491	14333	21707	14323	16961	12227	17577	14352	12515	13560	14965	13779	15409	17872	15201	24778	18837	13224	13807	15300	17034	24128	19510	18044
cholesterol	Cholesterol	580720	505890	504724	571872	1189398	746302	936641	869882	726636	502210	739349	724340	805128	649659	576038	618804	654246	723508	654580	450276	673278	816846	819732	724055	572670	642995	769763	807895	788657	704844	708901	610587	668712	772421	628197	695359	654687	622801	913272	709820	780114	625143	611254	632373	498066	681746	457047	792374	599981	1855549	628265	764290	752080	772860	928501	842252
citric acid	Citric acid	192471	151989	131236	135396	160267	221605	227944	124151	233653	153368	174862	168169	234920	147473	116165	120448	198396	195123	223993	144357	154535	144688	172768	176641	110620	180450	192993	268326	195548	280184	270651	211650	189121	179306	145745	102175	181752	192801	163740	201361	171487	174481	155916	192172	278869	153337	119948	228374	172641	142260	140859	147479	187570	253202	141702	146874
citrulline	Citrulline	6014	6030	9462	4015	6820	5820	4193	11386	10392	8381	6525	8260	8361	9564	6917	7438	7719	11791	18468	17284	6556	7861	6053	6282	6923	8665	5968	6688	7190	7105	9637	6302	9775	9138	10307	5738	11594	10507	5354	6317	10452	8538	13641	8433	8465	5752	5444	12265	17499	10525	7124	6873	13172	6272	7391	8668
conduritol-beta-epoxide	Conduritol epoxide	2402	1586	1253	300	3751	1401	4291	3332	998	750	742	2525	4696	1376	942	1038	560	4393	2200	1473	1262	1066	3742	2025	378	957	1171	589	574	3507	939	1717	1942	2313	1543	241	775	6301	467	441	2962	1638	477	698	4524	661	724	2517	1072	5323	417	1586	1065	1724	3989	3503
creatinine	Creatinine	23211	21199	23945	10505	86865	55219	61054	69556	54109	43209	58317	33943	63266	58557	19929	35500	21511	32079	93564	44340	25263	45759	20864	21707	16554	20705	67044	53494	55601	56607	46603	61984	34044	37863	44121	31912	47025	43597	37186	27694	55597	16644	48513	21938	27705	17736	27920	63874	54467	22831	21213	31606	47091	77116	63425	48223
cysteine	Cysteine	30221	7997	23917	10153	36712	24910	24497	24711	23091	16142	26903	18218	18359	23187	12099	10196	19011	19379	25701	23299	25317	31109	14125	19532	27548	17060	38019	36519	31417	31919	23541	22160	28613	25861	12302	39475	18977	17458	26093	21910	25666	18701	23508	14069	12636	6448	11215	16024	19657	16982	7882	26065	15538	34498	28667	34461
cysteine-glycine	Cys-Gly	848	838	1098	782	1558	1921	1414	2056	1891	1416	2499	1274	1247	1161	714	753			1329	647	1329	1800	1475	925	949		1304	1930	1415	1305	3127	960	1688	1387	1317	1595	921	1100	943	709	1350		868	926	948	1124	982	1162	1104		701	1044	767	3095	834	1085
cystine	Cystine	39183	14991	42573	19046	41092	47978	42293	47571	41601	40788	35543	39613	50139	47872	19008	2686	32652	38130	53796	42854	41322	50686	37624	37757	27455	34290	45838	59962	48953	49190	55905	34536	38592	37952	20688	35220	41804	40520	25898	60094	18154	36480	32198	25496	32931	11983	14750	31639	31898	36540	37228	16413	23390	56809	35391	37434
erythritol	Erythritol	5482	2661	2279	2925	3845	4541	3080	4060	2614	3320	3811	4588	5078	3844	1299	641	4032	1265	6428	3426	5355	7039	4934	3462	8570	2824	4609	4668	2538	4871	6321	3258	3682	3550	3210	3349	4052	4272	2173	4047	2894	3030	4950	2506	4022	2111	1881	3650	3014	4252	1962	3220	4960	5381	4054	4830
ethanolamine	Ethanolamine	493944	384198	500903	430198	135543	144831	212292	215578	186713	333157	283908	276559	432814	384018	277785	373902	466103	522188	544143	460900	494571	434912	501297	498800	446341	519821	89917	156489	243087	182894	509847	345064	421986	366649	107491	383703	546797	439967	516263	496566	399102	438718	444148	412573	509108	579771	337486	659885	609933	461703	534078	526092	560164	137333	323237	518674
fructose	Fructose	478558	344714	393062	494023	525656	657036	621399	315842	492035	686024	801704	410134	451003	508478	354618	405608	529599	284971	715465	689762	476679	594368	486345	589449	465333	651054	454758	769540	644208	462320	572347	474261	572137	499379	303342	392774	529658	494916	470991	692781	561018	359718	464651	432271	195074	106726	131175	193376	416623	410758	210083	256882	169690	473544	261775	234929
fumaric acid	Fumaric acid	2563	7070	2594	2533	3391	2732	3024	3268	3536	2245	2977	2778	4231	2086	1604	2009	9693	5551	3309	2965	2302	2208	2756	2807	2025	3189	2517	3745	3218	3214	3549	4142	3961	2643	9747	2436	2687	2982	2901	3165	1986	5448	3026	2759	3180	3765	3426	4822	3695	3754	3404	2885	3056	3311	3875	2846
gluconic acid	Gluconic acid	4586	4412	4437	4404	4896	6273	3948	5003	7046	5483	9049	4406	4216	5538	3077	4070	4336	5990	9165	6668	5663	7726	4846	4191	4605	4756	4519	7000	5325	4978	8854	4238	5624	4024	4338	5186	8519	4852	3696	5081	5435	3904	4822	3780	3191	1410	1336	3468	3126	2863	2363	1493	2702	3671	2845	2376
glucose	Glucose	1510052	1200680	1386558	1370661	1916713	1851648	1913687	1704912	1946425	1827356	2022011	1487404	1318799	1507669	974850	2746732	1576607	1517477	1761139	1565260	1643233	768967	1460008	1539402	1435819	1604567	1762717	2152955	2080706	1716844	2204497	1453912	1548713	1502785	2071663	1227718	1745880	1383706	1765961	1652178	2652298	1427382	1461862	1402404	750819	635854	698138	849265	1317001	1186350	913741	1201267	1014609	1756284	1198312	1168748
glucuronic acid	Glucuronic acid	5566	2193	1707	1004	2215	2089	1407	2624	2765	5318	2633	7773	2608	2345	1048	1711	1194	3797	2880	6696	3996	2636	9106	2213	1451	2576	2405	2593	3384	2303	4412	2035	1530	2867	1965	2586	1821	2963	1775	1481	2467	2910	1365	1861	1912	1017	947	1977	1708	2022	1300	1584	1375	2805	1753	2218
glutamic acid	Glutamic acid	27531	28963	23568	27472	34366	28982	37460	51744	24098	50367	31311	61646	72275	41639	14471	54323	22557	26040	20184	22436	38937	38835	31046	25679	31735	45713	44542	41297	50306	30105	52430	45621	42115	38976	20674	50761	61440	30294	41363	24523	29354	34680	14511	38787	18677	22682	17835	24303	25373	17420	42257	36829	33252	40159	82738	53643
glutamine	Glutamine	518349	316842	558159	278159	458136	570122	602916	521383	668103	691534	411290	567611	382853	607425	357184	328976	574704	930854	421123	545305	461067	365523	481907	511751	434370	605794	709252	505768	659477	702563	426207	454033	636142	675249	301967	427845	526432	587839	527817	466491	401561	518831	462234	472935	637199	364209	429345	586841	506633	608555	631907	479048	515658	645328	577008	507707
glyceric acid	Glyceric acid	20695	17543	20195	19551	28506	27342	45806	23997	24468	32238	23920	16762	35063	16434	14654	25610	24205	23906	17215	28943	15123	14548	21569	20840	15148	15027	22450	16785	20266	25366	17596	36996	26006	29837	20106	18703	18639	27859	27622	12600	25477	26845	10502	16777	22067	23289	14822	37371	19698	24190	16578	21560	24227	32717	40866	30612
glycerol	Glycerol	113785	120653	111365	148721	139072	128722	178065	179365	143484	92812	125543	146912	143904	120433	137003	77841	138344	98957	143178	151191	130294	222916	325359	85855	94926	107664	86047	184004	104810	169343	179571	158020	168923	155125	484496	115056	145275	229476	122214	162882	129287	123173	117612	163637	128207	118678	96367	184147	179769	98515	115342	96314	250753	259490	136396	162380
glycerol-alpha-phosphate	sn-Glycero-3-phosphate	12889	12335	14402	12086	31953	17506	28315	16602	10233	20619	19799	14827	38645	13351	17518	7889	14132	8610	17874	23041	10408	15179	30037	18476	10030	26434	19008	17599	15468	17076	10524	14343	24462	15830	16182	7523	9910	15262	13085	16084	16997	12262	13212	10709	38305	14471	11096	25958	22288	22535	24055	18636	18979	38721	29880	22118
glycerol-beta-phosphate	sn-Glycero-2-phosphate	519	1247	648	510	1020	765	733	586	687	1142	804	574	1409	573	512	428	873	1022	730	1176	549	386	743	603	480	827	584	393	808	705	734	574	853	572	2402	501	579	705	690	871	801	712	802	577	1316	656	589	925	428	604	1842	657	788	795	1038	984
glycine	Glycine	359995	375472	258671	184472	63622	107646	85168	229039	80583	208153	214453	182648	362565	323457	147190	169106	395775	453627	306956	356288	235519	210238	337960	271208	283016	365998	59428	88952	163640	120805	240060	141965	228665	205284	55339	144856	293464	499128	247133	271282	210389	243431	298449	279191	585848	384925	124783	416168	451198	391666	416415	321004	303031	88085	206838	222930
glycolic acid	Glycolic acid	11385	54695	9516	8569	10072	8149	12466	9975	11697	9150	7747	7740	11143	5594	5300	5677	11912	12479	4142	5541	5615	7633	7350	8904	6679	12221	9025	11144	9529	6057	9113	8925	8478	5374	45097	4985	8308	6748	8183	7097	7259	7267	8961	10980	13968	8537	5164	9457	8207	4780	8277	7849	8559	15902	9036	7204
heptadecanoic acid	Margaric acid	11098	80302	11395	17166	13133	20439	16286	15136	18357	15359	19827	12710	13996	16099	16876	13544	18129	15779	17584	13069	16110	22754	23432	13055	15079	12787	14651	22193	16535	17858	16024	14265	19151	18129	17594	19566	16491	22540	12668	20417	19118	11912	16420	12748	12458	9105	8294	12823	13594	9994	10799	11471	14369	14061	11419	11174
histidine	Histidine	44581	31972	57321	35226	43651	54503	54120	84527	74013	66046	58838	48994	38553	54268	27054	62944	60566	109825	55188	49043	46713	60711	45624	53855	53771	54465	60543	56008	67771	66684	55388	44793	55154	55203	32176	66113	60934	47331	83652	53159	44248	58060	60412	49208	46586	27735	31599	48317	44788	50533	48714	54386	46712	39378	49987	50897
indole-3-acetate	Indoleacetic acid	3365	3713	1761	3090	5810	10688	3468	4545	7444	7110	11143	2898	2027	4410	1660	1419	4393	5539	15428	3846	2627	3649	2109	4022	2356	5523	10978	4242	3115	3877	2045	3113	2554	1147	4309	1320	6755	5185	8722	1175	4628	8780	2860	2160	4094	1876	3413	6383	9363	3111	3976	5590	3439	3724	3755	4402
indole-3-lactate	Indolelactic acid	1095	2327	2448	1593	7440	1797	7025	3241	3127	2287	2215	2139	3859	2431	981	1568	2402	2536	2038	3321	3624	2134	2045	2517	2198	2122	3545	1628	2000	1927	1885	4645	2337	1905	1703	1335	3032	1698	1432	4398	1244	2698	1737	2885	3459	1981	1597	4071	3089	2221	2143	3430	3271	2737	2162	3281
inositol myo-	Myo-inositol	39768	29793	34450	26777	40730	43784	44501	52007	34653	34976	31736	55830	71403	43826	19668	25195	25534	69247	62413	33811	52132	48989	34402	40046	23357	31664	42276	35999	32760	55365	36109	34377	34076	42949	25675	21296	31941	52476	25372	29911	48980	38958	23110	35052	45896	24861	19693	56426	36016	41718	28703	43991	35824	49497	42258	61927
inulobiose 2	Inulobiose	1344	1075	1115	1111	1375	1879	1178	1406	1523	1124	2013	2280	1065	1163	692	1212	1727	1211	2769	1699	2563	2793	1157	1360	1347	1476	1246	2021	1651	1296	3878	1171	1089	1846	1193	1898	2086	1184	1358	1670	1240	1249	748	1170	823	589	603	789	1179	785	709	1130	1257	1825	1375	1039
isoleucine	Isoleucine	164550	82032	183227	222162	95351	181338	122420	183167	149764	111347	92464	148766	114657	133188	73396	60427	90807	113139	187206	156036	173657	182164	168587	191007	193274	47193	142155	184059	135519	130330	181097	103485	126595	136973	242703	183259	148279	157044	160055	154512	141252	75796	186543	174906	166230	238763	80396	108931	104096	84838	175012	202368	182996	100336	107661	171550
isonicotinic acid	Isonicotinic acid	778	6170	952	1010	2569	1687	2018	1639	1214	3117	1575	1125	1213	4708	2186	2158	3757	1816	1461	1158	785	693	658	698	1002	868	2361	1601	1818	1040	1624	6908	1468	2439	6952	1877	1887	1498	1671	1123	3300	1804	1589	915	728	753	1049	1445	2624	1210	647	1403	1092	3645	6859	1899
isothreonic acid	D-Threonic acid	6489	4658	4790	5024	5685	6664	8829	7163	4985	7036	5668	7251	7961	5295	3741	6113	5349	7719	7902	5616	6574	7741	7046	5872	5222	6556	7920	6034	5427	6385	8210	6106	6919	5704	4163	6214	5070	7981	5598	5238	6316	5538	4878	5101	7201	4671	3684	8734	6404	4368	4705	5022	6987	7931	7242	7459
kynurenine	Kynurenine	418	671	1290	475	735	1006	1154	1204	1039	780	481	839	1788	1125	225	900	721	1514	1132	638	902	765	662	924	603	1008	1620	906	496	787	1169	750	953	1190	1288	585	1070	1048	863	720	582	718	462	548	694	292	330	924	1525	782	446	474	751	1801	597	732
lactic acid	Lactic acid	188177	321462	292212	261987	494476	384526	314110	250783	318292	314622	330681	511564	451998	150087	253868	512399	347101	296210	285796	373893	541006	314620	432529	314946	304819	6866	542092	107023	370509	450158	463090	533053	527829	289105	441838	289492	332726	456316	261582	216811	455669	249577	276063	390517	420364	407280	4651903	278575	222273	175707	385561	277671	487491	812279	390945	474265
lathosterol NIST	Standard	682	249	504	360	945	866	665	568	603	500	498	415	643	358	436	623			501	276	378	352	603	522	647		673	730	867	778	659	944	602	1525	2162	536	724	448	637	493	668		330	526	511	492	526	709	684		503	773	462	838	715	718
lauric acid	Lauric acid	7146	29619	10509	16306	19837	10479	12743	11385	10430	9502	13019	8952	9154	9504	6814	9754	19785	16465	10804	9494	7131	10690	7680	7654	11033	13338	10761	11683	14145	13282	13638	18689	13898	9584	31746	9311	10717	12930	6919	12062	12368	14687	11990	7543	9410	13208	10349	11081	13672	13062	10387	10278	42482	14192	11187	8419
